Gender,Customer_Type,Age,Type_of_Travel,Class,Flight_Distance,Inflight_wifi_service,Departure/Arrival_time_convenient,Ease_of_Online_booking,Gate_location,Food_and_drink,Online_boarding,Seat_comfort,Inflight_entertainment,On_board_service,Leg_room_service,Baggage_handling,Checkin_service,Inflight_service,Cleanliness,satisfaction
0,1,34,0,1,550,2,0,2,5,2,2,2,2,5,3,5,5,5,2,0
0,0,23,1,2,1440,0,0,0,3,2,0,2,2,4,3,5,3,4,2,1
1,1,22,1,2,3225,3,2,2,2,3,3,3,3,4,4,3,3,3,3,0
0,0,22,1,0,589,3,4,2,4,4,2,4,4,3,4,4,3,5,4,0
0,1,48,1,0,369,2,1,1,1,2,2,2,2,5,5,1,5,4,2,1
0,1,47,1,2,3382,2,2,2,2,3,4,4,4,4,4,4,5,4,4,1
1,1,25,0,0,1069,2,5,2,3,1,2,1,1,5,3,5,5,5,1,0
1,1,53,1,2,2475,3,3,5,3,2,3,3,4,4,4,5,3,4,3,1
1,1,48,0,0,645,3,5,3,3,2,5,4,1,1,3,1,4,1,4,0
0,1,46,1,2,2729,0,4,0,5,4,5,4,2,2,2,2,5,2,5,1
1,1,51,1,2,1774,3,3,3,3,3,5,4,5,5,5,5,4,5,5,1
1,0,42,1,0,366,2,2,2,3,1,2,1,1,1,5,4,2,4,1,0
1,1,56,0,0,308,5,5,5,1,3,4,5,2,2,5,2,3,2,4,1
0,1,51,1,2,1897,1,1,1,1,5,5,5,5,5,5,5,4,5,5,1
0,1,35,1,2,2231,4,4,4,4,3,5,4,4,4,4,4,3,4,3,1
1,1,43,1,2,370,4,4,4,4,5,5,5,4,4,4,4,3,4,5,1
0,1,18,0,0,697,2,5,2,1,1,2,1,1,5,3,5,5,4,1,0
0,0,22,1,2,1133,5,0,5,2,3,5,3,3,1,1,1,4,4,3,1
1,1,50,1,2,1269,4,4,4,4,5,4,5,4,4,4,4,4,4,3,1
1,0,50,1,0,528,3,0,3,4,2,3,3,2,3,4,2,4,1,2,0
0,1,19,1,2,2794,5,5,3,5,5,5,5,5,4,3,5,4,5,5,1
0,0,25,1,0,1249,4,5,5,4,1,5,3,1,3,1,5,3,3,1,1
0,1,40,1,2,444,5,5,5,5,3,5,5,5,5,5,5,4,5,3,1
0,1,36,1,2,3234,3,5,5,5,3,4,3,3,3,3,3,3,3,3,0
1,1,59,1,2,2937,2,2,2,2,3,4,5,5,5,5,5,4,5,4,1
1,1,36,0,2,169,2,5,2,3,3,4,5,4,4,2,4,4,4,5,0
1,1,51,1,0,616,2,1,1,1,5,4,4,2,2,2,2,4,2,1,0
0,1,8,0,0,325,1,1,1,4,3,1,3,3,3,5,3,2,4,3,0
0,1,65,0,0,199,2,4,0,2,4,0,4,4,3,3,4,3,5,4,0
1,1,67,1,2,1217,3,4,4,4,2,3,2,3,3,3,3,2,3,1,0
0,1,46,0,1,226,1,4,1,3,1,1,1,1,5,4,4,3,5,1,0
1,1,54,1,2,2576,2,2,2,2,3,4,5,4,4,4,4,4,4,5,1
1,1,52,1,0,1046,5,1,1,1,5,4,4,1,4,3,2,4,3,4,1
0,1,62,0,0,2182,4,4,4,1,2,4,2,2,2,2,4,3,1,2,1
0,1,47,1,2,201,0,3,0,3,4,1,4,4,4,4,4,5,4,5,1
1,0,22,1,0,964,4,4,4,4,5,4,5,5,2,5,4,4,3,5,0
1,1,68,0,0,416,1,1,1,3,1,2,2,3,3,1,3,4,3,3,0
1,1,35,1,2,2000,2,2,2,2,5,2,2,5,5,5,5,2,5,4,1
0,1,48,1,2,390,5,5,4,5,5,4,4,4,4,4,4,4,4,3,1
1,1,50,0,0,1014,4,2,4,3,5,4,3,5,5,4,5,2,5,2,0
1,1,51,1,2,1866,2,2,4,2,3,4,5,3,3,3,3,5,3,3,1
1,1,31,1,2,486,2,5,5,5,2,2,2,2,4,1,3,2,3,2,0
1,0,21,1,0,309,1,2,1,4,2,1,2,2,2,3,4,3,3,2,0
1,1,35,1,2,3725,1,2,2,2,1,2,3,1,1,1,1,3,1,1,0
0,1,56,1,2,3397,3,1,1,1,5,3,3,3,3,3,3,2,3,4,0
0,1,35,1,0,139,2,1,1,1,2,2,2,2,3,1,4,3,3,2,0
0,1,26,1,1,549,3,1,1,1,3,3,3,3,2,4,4,2,4,3,0
0,0,44,1,2,108,1,1,1,2,5,1,5,5,3,2,4,3,4,5,0
0,1,37,0,0,127,3,2,3,3,1,3,1,1,2,5,3,3,3,1,0
1,1,65,0,0,1487,3,3,3,2,3,2,2,3,2,3,1,2,5,2,0
0,1,57,1,0,983,4,4,4,4,4,4,4,4,4,1,4,4,3,4,0
0,1,38,1,2,3290,3,1,1,1,5,3,4,3,3,3,3,4,3,3,0
0,1,52,0,0,227,2,4,2,5,3,2,3,3,3,5,5,4,4,3,0
1,1,15,1,1,639,1,1,1,1,1,1,3,1,1,1,4,2,4,1,0
1,1,39,1,2,1372,2,2,2,2,3,5,5,4,4,4,4,5,4,3,1
1,1,42,1,2,1825,5,5,5,5,5,4,4,5,5,5,5,3,5,4,1
0,1,46,0,0,395,4,4,4,5,5,4,5,5,4,2,3,3,3,5,0
1,0,30,1,0,846,3,3,3,4,2,3,2,2,2,1,3,2,3,2,0
0,1,41,0,2,2588,3,3,3,1,3,3,4,3,4,5,4,4,4,4,0
0,1,42,1,2,2041,4,4,4,4,3,5,4,4,4,4,4,4,4,4,1
1,1,70,1,0,370,2,3,3,3,4,2,2,2,2,2,2,2,2,4,0
0,0,24,1,0,1127,4,5,5,1,1,5,1,1,5,3,4,3,4,1,1
0,1,38,1,2,2209,5,5,3,5,3,5,5,5,5,5,5,4,5,5,1
0,1,31,1,2,1055,5,5,5,5,5,5,5,5,5,5,4,4,5,5,1
0,1,49,1,2,2055,4,4,4,4,3,4,5,4,4,4,4,4,4,4,1
0,1,51,0,0,488,3,2,3,3,5,3,5,5,1,1,4,3,4,5,0
1,1,20,0,0,2701,1,4,1,3,2,1,2,2,4,5,4,5,4,2,0
1,1,65,0,0,1069,1,4,0,2,2,4,5,1,1,0,1,5,1,3,0
0,1,52,0,0,383,0,5,0,1,1,0,1,1,4,4,5,5,5,1,1
1,1,33,1,2,1674,3,3,3,3,2,5,5,2,2,2,2,2,2,1,1
1,1,42,0,0,328,3,3,3,3,1,4,3,1,1,3,1,4,1,1,0
0,1,52,0,0,643,0,5,0,2,2,0,1,2,5,5,5,4,4,2,1
0,0,10,1,0,908,5,5,5,4,4,5,3,4,3,2,5,4,4,4,1
1,1,23,1,2,1013,1,3,3,3,1,1,1,1,2,2,4,3,3,1,0
1,1,39,1,2,188,1,1,1,1,2,4,1,4,4,5,4,2,4,3,1
1,1,43,1,2,919,4,4,4,4,5,4,5,5,5,5,5,3,5,5,1
0,1,33,0,0,946,2,5,2,3,2,2,2,2,3,5,2,2,2,2,0
0,1,67,0,0,594,2,5,2,2,5,2,5,5,2,2,5,4,1,5,0
0,1,31,1,2,2645,5,5,4,5,3,3,3,3,4,3,5,3,5,3,1
0,1,31,1,2,3415,5,5,5,5,4,4,3,4,3,5,5,2,1,4,1
1,1,43,0,0,280,1,4,1,3,4,4,4,1,1,1,1,5,1,5,0
0,1,14,0,0,1107,3,5,3,2,2,3,2,2,3,5,5,3,4,2,0
1,1,51,1,2,1646,4,4,2,4,3,4,4,3,3,3,3,4,3,4,1
1,1,9,0,1,2475,3,2,4,4,4,4,2,4,3,3,3,2,4,2,0
1,1,26,1,2,110,2,2,2,2,5,5,3,5,2,4,4,4,1,5,1
1,0,22,1,0,349,3,0,3,5,2,3,2,2,1,2,3,3,4,2,0
1,1,24,0,0,697,1,4,1,4,4,1,4,4,4,4,3,4,3,4,0
1,0,22,1,0,721,2,2,2,2,3,2,3,3,1,1,1,2,5,3,0
1,0,50,1,2,140,3,3,3,4,5,3,5,5,3,2,4,4,5,5,0
0,0,27,1,2,650,2,2,2,1,3,2,5,3,3,2,4,4,4,3,0
1,1,21,0,0,248,3,5,3,2,3,3,3,3,5,4,5,3,4,3,0
1,1,59,1,2,164,0,4,0,4,5,5,5,4,4,4,4,4,4,4,1
0,1,59,1,2,1096,3,3,3,3,4,5,4,3,3,3,3,4,3,3,1
0,1,42,0,2,1147,2,5,2,1,3,3,4,3,3,2,3,4,3,4,0
1,1,39,0,1,738,4,5,4,4,5,4,5,5,4,3,4,4,5,5,0
1,1,55,0,1,775,0,5,0,1,3,5,4,3,3,0,3,4,3,3,1
0,1,57,1,2,1760,0,4,0,4,3,5,5,2,2,2,2,5,2,5,1
0,1,38,1,0,224,5,4,4,4,5,5,5,5,1,5,1,5,5,5,1
0,0,26,1,0,157,1,3,1,1,4,1,4,4,5,3,4,2,5,4,0
1,0,40,1,2,453,2,2,2,3,4,2,4,4,4,3,4,4,5,4,0
0,1,53,0,0,627,1,4,2,2,5,2,5,5,4,5,4,4,5,5,0
0,1,21,0,0,735,1,4,1,1,2,1,2,2,3,3,4,4,4,2,0
0,1,37,1,2,668,5,5,5,5,5,5,5,5,5,5,5,4,5,4,1
1,0,34,1,2,236,1,1,1,2,2,1,2,2,4,5,4,5,4,2,0
0,0,24,1,2,453,5,1,5,4,4,5,5,4,4,3,4,3,5,4,1
1,1,57,1,2,2342,5,5,2,5,3,4,4,4,4,4,4,3,4,4,1
1,1,21,1,2,2241,0,3,0,5,5,1,1,5,4,2,4,4,3,5,1
0,1,61,0,0,725,2,5,2,3,2,2,2,2,4,3,3,2,4,2,0
1,1,45,1,1,1235,2,5,5,5,5,3,4,2,2,2,2,2,2,4,0
1,1,51,0,0,764,2,4,2,4,4,2,1,3,3,2,3,5,3,5,0
0,1,28,1,2,680,2,1,1,1,2,2,2,2,4,2,2,2,2,2,0
1,1,26,0,0,944,2,3,2,3,2,2,3,2,3,5,3,2,4,2,0
1,1,30,1,2,2813,1,1,1,1,5,5,5,5,5,4,5,5,5,5,1
1,1,41,0,0,719,3,3,3,3,2,3,2,2,3,1,4,2,3,2,0
1,0,23,1,0,337,4,5,4,3,1,4,1,1,3,3,4,5,5,1,1
0,1,17,0,0,1062,2,5,2,2,2,2,2,2,4,3,5,5,4,2,0
1,1,17,1,2,581,3,3,3,3,4,4,4,4,5,3,5,4,5,4,1
0,1,52,1,2,2361,4,4,4,4,5,4,4,5,5,5,5,4,5,4,1
1,1,68,0,0,475,2,4,2,3,2,3,2,1,1,2,1,3,1,5,0
1,0,25,1,2,601,4,0,4,4,2,4,3,2,5,3,4,5,4,2,1
1,1,44,1,2,1757,2,3,3,3,5,3,2,2,2,2,2,4,2,1,0
1,1,57,1,2,1611,5,5,3,5,4,4,5,4,4,4,4,4,4,4,1
0,1,38,0,0,164,2,5,0,5,5,0,5,5,3,5,4,5,4,5,0
0,1,48,1,2,1783,4,4,4,4,4,5,4,5,5,5,5,4,5,4,1
1,1,37,0,0,581,4,5,4,2,2,4,3,2,5,4,5,4,4,2,0
0,1,48,1,2,319,5,5,5,5,5,4,4,5,5,5,5,5,5,4,1
0,1,16,0,0,228,4,5,4,3,4,4,3,4,4,4,4,3,5,4,0
0,1,14,0,0,227,2,4,0,3,2,0,4,2,3,2,4,3,4,2,0
0,1,51,0,1,602,2,2,2,3,5,2,5,5,2,3,3,4,4,5,0
1,1,51,1,2,3697,2,2,2,2,4,4,4,4,4,4,4,3,4,3,1
1,0,36,1,0,867,2,2,2,4,4,2,3,4,1,2,3,2,4,4,0
1,0,19,1,0,711,2,2,2,4,5,2,5,5,2,2,4,4,4,5,0
0,1,60,0,2,1195,2,5,2,4,4,5,5,5,5,2,5,4,5,4,0
0,0,26,1,2,794,3,4,4,3,5,4,3,5,2,2,3,3,3,5,0
1,1,46,1,2,2701,0,1,1,5,2,4,5,4,4,4,4,4,4,5,1
0,1,47,1,2,2278,5,5,5,5,2,5,4,5,5,5,5,4,5,3,1
1,1,29,0,0,989,4,5,4,1,4,4,4,4,5,3,4,5,4,4,1
1,0,37,1,2,108,5,5,5,3,2,5,2,2,5,3,5,3,4,2,1
0,1,38,1,0,926,3,2,2,2,3,3,3,2,5,4,4,3,4,3,0
1,1,31,0,0,1024,3,5,3,3,4,3,4,4,5,2,5,4,5,4,0
0,0,52,1,2,493,3,3,3,2,3,3,3,3,4,2,4,3,4,3,0
1,1,36,1,2,2799,0,0,0,4,5,5,5,5,5,5,5,5,5,3,1
1,1,50,1,2,2153,1,1,1,1,4,4,4,4,4,5,4,4,4,5,1
0,1,28,1,2,2724,4,4,4,4,3,4,3,3,4,4,4,5,4,3,1
0,1,46,0,0,425,2,5,2,4,3,2,3,3,5,3,4,5,5,3,0
1,1,25,1,2,986,2,2,2,2,4,4,4,4,3,3,4,4,5,4,1
0,1,51,0,0,356,3,4,3,2,2,3,4,2,4,5,4,3,4,2,0
1,1,53,0,0,2419,3,3,3,3,3,5,4,1,2,3,3,4,2,4,0
1,1,39,1,0,201,5,5,5,5,5,5,5,5,2,1,2,4,1,5,1
1,1,45,0,0,1428,3,4,3,4,3,2,2,5,5,4,4,2,5,2,0
1,1,49,0,0,241,1,5,1,4,2,4,4,3,3,1,3,3,3,4,0
0,0,37,1,0,666,1,1,1,4,4,1,4,4,3,4,4,4,3,4,0
1,1,28,0,0,2704,3,4,4,3,4,5,4,4,3,4,4,4,4,4,0
1,1,48,0,0,1192,2,4,2,2,2,5,5,2,2,2,2,3,2,5,0
0,1,17,1,2,3378,5,5,5,5,4,4,4,4,2,3,5,4,3,4,1
0,1,28,0,0,2218,3,5,3,3,2,3,2,2,2,2,1,2,1,2,0
1,1,36,1,2,1621,5,5,5,5,2,4,5,5,5,5,5,5,5,4,1
1,0,47,1,0,391,4,1,3,4,5,3,1,5,4,4,4,3,4,5,0
1,1,29,0,0,1440,3,5,3,3,5,3,5,5,3,3,4,4,5,5,0
1,1,20,0,2,212,3,1,3,4,4,3,4,4,4,5,5,5,4,4,0
0,0,39,1,2,399,1,1,1,2,1,1,1,1,5,5,5,5,4,1,0
0,1,56,1,2,997,5,5,5,5,4,4,4,4,4,4,4,5,4,3,1
1,1,19,1,2,1013,4,4,4,4,4,4,4,4,4,2,4,5,4,4,1
0,1,62,1,0,622,3,1,3,3,3,3,3,3,3,4,3,4,3,3,0
0,0,29,1,2,854,4,5,5,3,1,5,1,1,5,2,5,5,4,1,0
0,1,55,0,1,223,5,4,5,1,4,5,4,4,4,2,4,5,5,4,1
0,1,34,0,0,726,0,1,0,3,4,0,4,4,1,1,2,3,2,4,1
1,1,8,0,1,700,2,4,2,3,5,2,2,5,4,2,5,5,4,5,0
0,1,36,1,2,1024,2,2,2,2,4,4,5,4,4,4,4,3,4,3,1
0,0,20,1,0,164,2,0,2,3,2,2,2,2,3,4,4,4,5,2,0
0,1,29,0,0,936,5,5,5,3,2,5,2,2,2,1,1,4,4,2,1
1,1,42,1,2,3632,1,1,1,1,5,5,5,5,5,5,4,5,4,5,1
0,1,27,0,0,821,2,4,2,2,3,2,3,3,3,5,5,5,4,3,0
0,1,14,0,0,395,1,5,2,1,2,2,2,4,4,5,4,2,4,2,0
1,1,67,0,0,859,3,4,3,4,2,4,4,1,1,3,5,5,1,4,0
0,1,42,1,2,764,2,2,2,2,2,4,5,4,4,4,4,5,4,5,1
1,1,43,0,0,689,4,5,4,3,3,4,4,2,2,4,2,4,2,5,0
1,0,42,1,0,1013,1,1,1,3,3,1,3,3,1,1,4,4,3,3,0
1,1,45,0,1,321,2,4,2,4,2,4,4,2,2,2,2,3,2,1,0
1,1,58,1,2,2948,4,4,4,4,2,5,4,4,4,5,4,3,4,5,1
